Username,TimeStamp,Text,Replies,Retweets,Likes,Sentiment
Sportskeeda,2024-05-27T04:26:05.000Z,"KL Rahul appreciating Kolkata Knight Riders for winning IPL 2024. 

#Cricket #IPL2024 #KLRahul #KKR",1,288,4K,0.743
CricTracker,2024-05-26T11:51:36.000Z,"KL Rahul appreciating Kolkata Knight Riders for winning IPL 2024. 

#Cricket #IPL2024 #KLRahul #KKR",1,288,4K,0.743
Cricbuzz,2024-05-24T03:44:39.000Z,"KL Rahul appreciating Kolkata Knight Riders for winning IPL 2024. 

#Cricket #IPL2024 #KLRahul #KKR",1,288,4K,0.743
Shah Rukh Khan Universe Fan Club,2024-05-26T20:32:09.000Z,"KL Rahul appreciating Kolkata Knight Riders for winning IPL 2024. 

#Cricket #IPL2024 #KLRahul #KKR",1,288,4K,0.743
CricTracker,2024-05-29T06:24:06.000Z,"From 
SunRisers HyderabadKL Rahul appreciating Kolkata Knight Riders for winning IPL 2024. 

#Cricket #IPL2024 #KLRahul #KKR",1,288,4K,0.743
TEAM MS DHONI #Dhoni,2024-05-22T07:34:29.000Z,"KL Rahul appreciating Kolkata Knight Riders for winning IPL 2024. 

#Cricket #IPL2024 #KLRahul #KKR",1,288,4K,0.743
Sportskeeda,2024-05-22T13:29:43.000Z,"Yellow army, Do you agree with these picks for the IPL 2025 retention? 

#CSK #RuturajGaikwad #IPL2024",171,33,598,0.3612
Movies4u Official,2024-05-22T17:45:28.000Z,"From 
Charan Varma ™Yellow army, Do you agree with these picks for the IPL 2025 retention? 

#CSK #RuturajGaikwad #IPL2024",171,33,598,0.3612
ESPNcricinfo,2024-05-26T17:14:49.000Z,"Yellow army, Do you agree with these picks for the IPL 2025 retention? 

#CSK #RuturajGaikwad #IPL2024",171,33,598,0.3612
Cricbuzz,2024-05-26T19:06:59.000Z,"Yellow army, Do you agree with these picks for the IPL 2025 retention? 

#CSK #RuturajGaikwad #IPL2024",171,33,598,0.3612
Sun News,2024-05-23T06:49:29.000Z,"Yellow army, Do you agree with these picks for the IPL 2025 retention? 

#CSK #RuturajGaikwad #IPL2024",171,33,598,0.3612
Shah Rukh Khan Universe Fan Club,2024-05-26T19:33:34.000Z,"The Baadshah, the King, ruling over our hearts 
One and only Boss
@iamsrk
 @KKRiders
 @KKRUniverse
 

#ShahRukhKhan #SRK #Baadshah #KKR  #IPL2024 #IPL #KingKhan",10,274,1.1K,0.0
Jhulan Goswami,2024-05-26T17:11:50.000Z,"6
389
3K
15KThe Baadshah, the King, ruling over our hearts 
One and only Boss
@iamsrk
 @KKRiders
 @KKRUniverse
 

#ShahRukhKhan #SRK #Baadshah #KKR  #IPL2024 #IPL #KingKhan",10,274,1.1K,0.0
Royal Challengers Bengaluru,2024-05-22T11:33:03.000Z,"The Baadshah, the King, ruling over our hearts 
One and only Boss
@iamsrk
 @KKRiders
 @KKRUniverse
 

#ShahRukhKhan #SRK #Baadshah #KKR  #IPL2024 #IPL #KingKhan",10,274,1.1K,0.0
Shah Rukh Khan Universe Fan Club,2024-05-26T17:28:47.000Z,"The Baadshah, the King, ruling over our hearts 
One and only Boss
@iamsrk
 @KKRiders
 @KKRUniverse
 

#ShahRukhKhan #SRK #Baadshah #KKR  #IPL2024 #IPL #KingKhan",10,274,1.1K,0.0
Jhulan Goswami,2024-05-26T17:11:50.000Z,"6
389
3K
15KThe path #KKR has carved out this #IPL2024 is nothing short of spectacular. They’ve earned the right to lift the trophy by showing pure dominance the entire tournament & they rightfully have! 
@KKRiders
 @IPL
 

#KKRvsSRH #IPLFinal #CongratulationsKKR",6,389,3K,0.2714
Royal Challengers Bengaluru,2024-05-22T11:33:03.000Z,"The path #KKR has carved out this #IPL2024 is nothing short of spectacular. They’ve earned the right to lift the trophy by showing pure dominance the entire tournament & they rightfully have! 
@KKRiders
 @IPL
 

#KKRvsSRH #IPLFinal #CongratulationsKKR",6,389,3K,0.2714
Shah Rukh Khan Universe Fan Club,2024-05-26T17:28:47.000Z,"0:54The path #KKR has carved out this #IPL2024 is nothing short of spectacular. They’ve earned the right to lift the trophy by showing pure dominance the entire tournament & they rightfully have! 
@KKRiders
 @IPL
 

#KKRvsSRH #IPLFinal #CongratulationsKKR",6,389,3K,0.2714
Vibhor,2024-05-26T15:54:27.000Z,"The path #KKR has carved out this #IPL2024 is nothing short of spectacular. They’ve earned the right to lift the trophy by showing pure dominance the entire tournament & they rightfully have! 
@KKRiders
 @IPL
 

#KKRvsSRH #IPLFinal #CongratulationsKKR",6,389,3K,0.2714
Johnnie Walker,2024-05-26T19:28:21.000Z,"The path #KKR has carved out this #IPL2024 is nothing short of spectacular. They’ve earned the right to lift the trophy by showing pure dominance the entire tournament & they rightfully have! 
@KKRiders
 @IPL
 

#KKRvsSRH #IPLFinal #CongratulationsKKR",6,389,3K,0.2714
FukkardMemes,2024-05-27T06:27:16.000Z,"The path #KKR has carved out this #IPL2024 is nothing short of spectacular. They’ve earned the right to lift the trophy by showing pure dominance the entire tournament & they rightfully have! 
@KKRiders
 @IPL
 

#KKRvsSRH #IPLFinal #CongratulationsKKR",6,389,3K,0.2714
Shah Rukh Khan Universe Fan Club,2024-05-26T18:44:43.000Z,"Witnessing a pure emotional moment - King Khan sharing a warm hug with Aryan, Suhana, and Abram post the victory 
@iamsrk
 @KKRiders
 @KKRUniverse
 

#ShahRukhKhan #AryanKhan #Suhana #AbRam #KKR  #IPL2024 #IPL #KingKhan",3,114,402,0.8126
Farid Khan,2024-05-27T05:30:27.000Z,"Witnessing a pure emotional moment - King Khan sharing a warm hug with Aryan, Suhana, and Abram post the victory 
@iamsrk
 @KKRiders
 @KKRUniverse
 

#ShahRukhKhan #AryanKhan #Suhana #AbRam #KKR  #IPL2024 #IPL #KingKhan",3,114,402,0.8126
Sportskeeda,2024-05-24T10:21:43.000Z,"Witnessing a pure emotional moment - King Khan sharing a warm hug with Aryan, Suhana, and Abram post the victory 
@iamsrk
 @KKRiders
 @KKRUniverse
 

#ShahRukhKhan #AryanKhan #Suhana #AbRam #KKR  #IPL2024 #IPL #KingKhan",3,114,402,0.8126
Mukesh मारवाड़ी ,2024-05-22T10:08:13.000Z,"Witnessing a pure emotional moment - King Khan sharing a warm hug with Aryan, Suhana, and Abram post the victory 
@iamsrk
 @KKRiders
 @KKRUniverse
 

#ShahRukhKhan #AryanKhan #Suhana #AbRam #KKR  #IPL2024 #IPL #KingKhan",3,114,402,0.8126
Jayesh Jha,2024-05-27T04:24:56.000Z,"Witnessing a pure emotional moment - King Khan sharing a warm hug with Aryan, Suhana, and Abram post the victory 
@iamsrk
 @KKRiders
 @KKRUniverse
 

#ShahRukhKhan #AryanKhan #Suhana #AbRam #KKR  #IPL2024 #IPL #KingKhan",3,114,402,0.8126
Shah Rukh Khan Universe Fan Club,2024-05-26T15:33:50.000Z,"Shah Rukh Khan, cheering on KKR with so much love and passion. 
@iamsrk
 @KKRiders
 @KKRUniverse
 

#ShahRukhKhan #SRHvsKKR #KKR  #IPL2024 #IPL #KingKhan #SRK",2,59,254,0.8952
Shah Rukh Khan Universe Fan Club,2024-05-28T11:10:14.000Z,"Shah Rukh Khan, cheering on KKR with so much love and passion. 
@iamsrk
 @KKRiders
 @KKRUniverse
 

#ShahRukhKhan #SRHvsKKR #KKR  #IPL2024 #IPL #KingKhan #SRK",2,59,254,0.8952
Farid Khan,2024-05-26T17:34:05.000Z,"Shah Rukh Khan, cheering on KKR with so much love and passion. 
@iamsrk
 @KKRiders
 @KKRUniverse
 

#ShahRukhKhan #SRHvsKKR #KKR  #IPL2024 #IPL #KingKhan #SRK",2,59,254,0.8952
ESPNcricinfo,2024-05-27T05:35:02.000Z,"Shah Rukh Khan, cheering on KKR with so much love and passion. 
@iamsrk
 @KKRiders
 @KKRUniverse
 

#ShahRukhKhan #SRHvsKKR #KKR  #IPL2024 #IPL #KingKhan #SRK",2,59,254,0.8952
Filmfare,2024-05-27T05:15:08.000Z,"Shah Rukh Khan, cheering on KKR with so much love and passion. 
@iamsrk
 @KKRiders
 @KKRUniverse
 

#ShahRukhKhan #SRHvsKKR #KKR  #IPL2024 #IPL #KingKhan #SRK",2,59,254,0.8952
ESPNcricinfo,2024-05-28T01:30:01.000Z,"Shah Rukh Khan, cheering on KKR with so much love and passion. 
@iamsrk
 @KKRiders
 @KKRUniverse
 

#ShahRukhKhan #SRHvsKKR #KKR  #IPL2024 #IPL #KingKhan #SRK",2,59,254,0.8952
Farid Khan,2024-05-22T18:44:41.000Z,"Breaking: Dinesh Karthik retires from Indian Premier League 

6 teams, 16 years and what a career he had  #IPL2024 #tapmad #HojaoADFree",20,533,16K,0.0
CricTracker,2024-05-24T11:56:41.000Z,"Breaking: Dinesh Karthik retires from Indian Premier League 

6 teams, 16 years and what a career he had  #IPL2024 #tapmad #HojaoADFree",20,533,16K,0.0
Royal Challengers Bengaluru,2024-05-21T16:46:36.000Z,"Breaking: Dinesh Karthik retires from Indian Premier League 

6 teams, 16 years and what a career he had  #IPL2024 #tapmad #HojaoADFree",20,533,16K,0.0
Royal Challengers Bengaluru,2024-05-23T13:05:04.000Z,"Breaking: Dinesh Karthik retires from Indian Premier League 

6 teams, 16 years and what a career he had  #IPL2024 #tapmad #HojaoADFree",20,533,16K,0.0
Shah Rukh Khan Universe Fan Club,2024-05-28T17:06:14.000Z,"From 
VCBharat Arun Sir praises SRK's inspiring presence with the team, highlighting his excellent communication skills and role as a top franchise owner. 
@iamsrk
 @KKRiders
 @KKRUniverse
 

#ShahRukhKhan #BharatArun #KKR  #IPL2024 #IPL #KingKhan #SRK",3,86,342,0.8934
PuthiyathalaimuraiTV,2024-05-26T17:48:24.000Z,"Bharat Arun Sir praises SRK's inspiring presence with the team, highlighting his excellent communication skills and role as a top franchise owner. 
@iamsrk
 @KKRiders
 @KKRUniverse
 

#ShahRukhKhan #BharatArun #KKR  #IPL2024 #IPL #KingKhan #SRK",3,86,342,0.8934
Royal Challengers Bengaluru,2024-05-22T04:30:00.000Z,"Bharat Arun Sir praises SRK's inspiring presence with the team, highlighting his excellent communication skills and role as a top franchise owner. 
@iamsrk
 @KKRiders
 @KKRUniverse
 

#ShahRukhKhan #BharatArun #KKR  #IPL2024 #IPL #KingKhan #SRK",3,86,342,0.8934
AajTak,2024-05-22T18:38:20.000Z,"Bharat Arun Sir praises SRK's inspiring presence with the team, highlighting his excellent communication skills and role as a top franchise owner. 
@iamsrk
 @KKRiders
 @KKRUniverse
 

#ShahRukhKhan #BharatArun #KKR  #IPL2024 #IPL #KingKhan #SRK",3,86,342,0.8934
Royal Challengers Bengaluru,2024-05-26T06:38:46.000Z,"Bharat Arun Sir praises SRK's inspiring presence with the team, highlighting his excellent communication skills and role as a top franchise owner. 
@iamsrk
 @KKRiders
 @KKRUniverse
 

#ShahRukhKhan #BharatArun #KKR  #IPL2024 #IPL #KingKhan #SRK",3,86,342,0.8934
Shah Rukh Khan Universe Fan Club,2024-05-26T18:30:14.000Z,"King Khan and Rinku Singh celebrating their victory with smiles that light up the whole kingdom. 
@iamsrk
 @rinkusingh235
 @KKRiders
 @KKRUniverse
 

#ShahRukhKhan #RinkuSingh #KKR  #IPL2024 #IPL #KingKhan",2,109,362,0.7783
ESPNcricinfo,2024-05-27T09:22:45.000Z,"King Khan and Rinku Singh celebrating their victory with smiles that light up the whole kingdom. 
@iamsrk
 @rinkusingh235
 @KKRiders
 @KKRUniverse
 

#ShahRukhKhan #RinkuSingh #KKR  #IPL2024 #IPL #KingKhan",2,109,362,0.7783
PuthiyathalaimuraiTV,2024-05-27T08:31:32.000Z,"King Khan and Rinku Singh celebrating their victory with smiles that light up the whole kingdom. 
@iamsrk
 @rinkusingh235
 @KKRiders
 @KKRUniverse
 

#ShahRukhKhan #RinkuSingh #KKR  #IPL2024 #IPL #KingKhan",2,109,362,0.7783
Sun News,2024-05-23T05:34:20.000Z,"King Khan and Rinku Singh celebrating their victory with smiles that light up the whole kingdom. 
@iamsrk
 @rinkusingh235
 @KKRiders
 @KKRUniverse
 

#ShahRukhKhan #RinkuSingh #KKR  #IPL2024 #IPL #KingKhan",2,109,362,0.7783
Farid Khan,2024-05-29T03:21:00.000Z,"King Khan and Rinku Singh celebrating their victory with smiles that light up the whole kingdom. 
@iamsrk
 @rinkusingh235
 @KKRiders
 @KKRUniverse
 

#ShahRukhKhan #RinkuSingh #KKR  #IPL2024 #IPL #KingKhan",2,109,362,0.7783
Thanthi TV,2024-05-26T18:19:15.000Z,"NOW YOU KNOW WHO IS THE REAL SILENCER.!!

#GautamGambhir #IPL2024 #Silencer #ThanthiTV",8,24,286,0.0
Farid Khan,2024-05-22T19:27:49.000Z,"From 
IndianPremierLeagueNOW YOU KNOW WHO IS THE REAL SILENCER.!!

#GautamGambhir #IPL2024 #Silencer #ThanthiTV",8,24,286,0.0
Richard Kettleborough,2024-05-27T01:45:42.000Z,"From 
IndianPremierLeagueNOW YOU KNOW WHO IS THE REAL SILENCER.!!

#GautamGambhir #IPL2024 #Silencer #ThanthiTV",8,24,286,0.0
Farid Khan,2024-05-27T05:37:51.000Z,"From 
IndianPremierLeagueNOW YOU KNOW WHO IS THE REAL SILENCER.!!

#GautamGambhir #IPL2024 #Silencer #ThanthiTV",8,24,286,0.0
Star Sports,2024-05-22T03:01:47.000Z,"NOW YOU KNOW WHO IS THE REAL SILENCER.!!

#GautamGambhir #IPL2024 #Silencer #ThanthiTV",8,24,286,0.0
CricTracker,2024-05-27T10:26:02.000Z,"Here is CricTracker's Team of the Tournament for IPL 2024.

What changes do you suggest? #IPL2024",34,68,644,0.0
PuthiyathalaimuraiTV,2024-05-26T10:56:32.000Z,"Here is CricTracker's Team of the Tournament for IPL 2024.

What changes do you suggest? #IPL2024",34,68,644,0.0
Saravanan Hari,2024-05-24T13:16:53.000Z,"Here is CricTracker's Team of the Tournament for IPL 2024.

What changes do you suggest? #IPL2024",34,68,644,0.0
Yusuf Pathan,2024-05-26T16:57:17.000Z,"22
963
10K
87KHere is CricTracker's Team of the Tournament for IPL 2024.

What changes do you suggest? #IPL2024",34,68,644,0.0
RVCJ Sports,2024-05-24T17:59:23.000Z,"Here is CricTracker's Team of the Tournament for IPL 2024.

What changes do you suggest? #IPL2024",34,68,644,0.0
Farid Khan,2024-05-24T18:20:37.000Z,"Here is CricTracker's Team of the Tournament for IPL 2024.

What changes do you suggest? #IPL2024",34,68,644,0.0
Cricket Enthusiast,2024-05-24T10:45:32.000Z,"SunRisers Hyderabad and Rajasthan Royals#IPL2024 
#CONTEST18

Cricket Contest of 14k 
#SRHvRR #Qualifier2 

Deadline - 7:30pm (24th May) 

#crickettwitter #cricketenthusiasttarun #IPLPlayoffs #iplonjiocinema #sunrisershyderabad #rajasthanroyals",169,164,169,0.0
Shah Rukh Khan Universe Fan Club,2024-05-27T16:54:36.000Z,"#IPL2024 
#CONTEST18

Cricket Contest of 14k 
#SRHvRR #Qualifier2 

Deadline - 7:30pm (24th May) 

#crickettwitter #cricketenthusiasttarun #IPLPlayoffs #iplonjiocinema #sunrisershyderabad #rajasthanroyals",169,164,169,0.0
ESPNcricinfo,2024-05-28T08:00:00.000Z,"#IPL2024 
#CONTEST18

Cricket Contest of 14k 
#SRHvRR #Qualifier2 

Deadline - 7:30pm (24th May) 

#crickettwitter #cricketenthusiasttarun #IPLPlayoffs #iplonjiocinema #sunrisershyderabad #rajasthanroyals",169,164,169,0.0
Thyview,2024-05-22T14:31:53.000Z,"#IPL2024 
#CONTEST18

Cricket Contest of 14k 
#SRHvRR #Qualifier2 

Deadline - 7:30pm (24th May) 

#crickettwitter #cricketenthusiasttarun #IPLPlayoffs #iplonjiocinema #sunrisershyderabad #rajasthanroyals",169,164,169,0.0
Kavya Maran,2024-05-27T14:45:50.000Z,"#IPL2024 
#CONTEST18

Cricket Contest of 14k 
#SRHvRR #Qualifier2 

Deadline - 7:30pm (24th May) 

#crickettwitter #cricketenthusiasttarun #IPLPlayoffs #iplonjiocinema #sunrisershyderabad #rajasthanroyals",169,164,169,0.0
Sportskeeda,2024-05-23T13:29:44.000Z,"Do you agree with Kevin Pietersen that Virat Kohli should leave RCB and play for a different franchise to win the IPL trophy? 

#IPL2024 #ViratKohli #DelhiCapitals #CricketTwitter",56,22,308,0.8176
DTDC Express Limited,2024-05-26T12:04:57.000Z,"Do you agree with Kevin Pietersen that Virat Kohli should leave RCB and play for a different franchise to win the IPL trophy? 

#IPL2024 #ViratKohli #DelhiCapitals #CricketTwitter",56,22,308,0.8176
