Username,TimeStamp,Text,Replies,Retweets,Likes
Tanmay Tiwary,2023-05-08T15:34:12.000Z,"2
74The coach speaks about Rishabh 

The #DCPodcast is  with its nd episode and it's time we hear from the one & only, Ricky Ponting 

 to the full episode on Spotify  https://spoti.fi/3I2g00b

#YehHaiNayiDilli #IPL2022 #DCOriginals | 
@RickyPonting",1,13,187
CricTracker Hindi,2024-05-29T15:15:00.000Z,"The coach speaks about Rishabh 

The #DCPodcast is  with its nd episode and it's time we hear from the one & only, Ricky Ponting 

 to the full episode on Spotify  https://spoti.fi/3I2g00b

#YehHaiNayiDilli #IPL2022 #DCOriginals | 
@RickyPonting",1,13,187
Ritesh Ranjan,2023-09-02T18:38:00.000Z,"The coach speaks about Rishabh 

The #DCPodcast is  with its nd episode and it's time we hear from the one & only, Ricky Ponting 

 to the full episode on Spotify  https://spoti.fi/3I2g00b

#YehHaiNayiDilli #IPL2022 #DCOriginals | 
@RickyPonting",1,13,187
CricTracker Hindi,2023-12-02T09:51:57.000Z,"आईपीएल 2024 मिनी ऑक्शन के लिए कुल 1166 खिलाड़ियों ने रजिस्टर्ड कराया है

#IPL2022 #IPL #IPL2024 #MiniAuction #Cricket #CricTrackerHindi #CricketUpdates",,,
Dr Yogi Patel,2023-05-16T18:33:39.000Z,"1
1
289आईपीएल 2024 मिनी ऑक्शन के लिए कुल 1166 खिलाड़ियों ने रजिस्टर्ड कराया है

#IPL2022 #IPL #IPL2024 #MiniAuction #Cricket #CricTrackerHindi #CricketUpdates",,,
Vibhor Mohan,2023-05-09T06:50:10.000Z,"आईपीएल 2024 मिनी ऑक्शन के लिए कुल 1166 खिलाड़ियों ने रजिस्टर्ड कराया है

#IPL2022 #IPL #IPL2024 #MiniAuction #Cricket #CricTrackerHindi #CricketUpdates",,,
betway,2024-04-05T15:17:07.000Z,"आईपीएल 2024 मिनी ऑक्शन के लिए कुल 1166 खिलाड़ियों ने रजिस्टर्ड कराया है

#IPL2022 #IPL #IPL2024 #MiniAuction #Cricket #CricTrackerHindi #CricketUpdates",,,
IPL WINNING CAPTAIN SHREYAS IYER,2023-04-08T16:17:56.000Z,"2
5
185आईपीएल 2024 मिनी ऑक्शन के लिए कुल 1166 खिलाड़ियों ने रजिस्टर्ड कराया है

#IPL2022 #IPL #IPL2024 #MiniAuction #Cricket #CricTrackerHindi #CricketUpdates",,,
Comedy Tonic Telugu,2022-05-01T17:36:44.000Z,"0:49आईपीएल 2024 मिनी ऑक्शन के लिए कुल 1166 खिलाड़ियों ने रजिस्टर्ड कराया है

#IPL2022 #IPL #IPL2024 #MiniAuction #Cricket #CricTrackerHindi #CricketUpdates",,,
RVCJ Media,2022-05-26T07:15:05.000Z,"आईपीएल 2024 मिनी ऑक्शन के लिए कुल 1166 खिलाड़ियों ने रजिस्टर्ड कराया है

#IPL2022 #IPL #IPL2024 #MiniAuction #Cricket #CricTrackerHindi #CricketUpdates",,,
Wasim Jaffer,2022-04-13T17:58:25.000Z,"आईपीएल 2024 मिनी ऑक्शन के लिए कुल 1166 खिलाड़ियों ने रजिस्टर्ड कराया है

#IPL2022 #IPL #IPL2024 #MiniAuction #Cricket #CricTrackerHindi #CricketUpdates",,,
ESPNcricinfo,2023-07-16T14:41:17.000Z,"Yuzvendra Chahal revealed his disappointment at the manner of his parting with RCB, ahead of the #IPL2022 season 

Full story  http://es.pn/3DzoFVz #CricketTwitter",10,31,765
Sports Tak,2023-04-20T14:55:45.000Z,"Yuzvendra Chahal revealed his disappointment at the manner of his parting with RCB, ahead of the #IPL2022 season 

Full story  http://es.pn/3DzoFVz #CricketTwitter",10,31,765
Vishal S S Mehra,2023-05-23T13:35:09.000Z,"Vishal S S Mehra
@weshalltalkcric
·
May 23, 2023
Darshan Nalkande comes in for Yash Dayal. #IPL2023 #GTvCSKYuzvendra Chahal revealed his disappointment at the manner of his parting with RCB, ahead of the #IPL2022 season 

Full story  http://es.pn/3DzoFVz #CricketTwitter",10,31,765
Gallinews.com,2024-03-26T18:41:36.000Z,"Yuzvendra Chahal revealed his disappointment at the manner of his parting with RCB, ahead of the #IPL2022 season 

Full story  http://es.pn/3DzoFVz #CricketTwitter",10,31,765
Suriyakumar Palanisamy,2024-04-30T13:11:16.000Z,"5
15
848Yuzvendra Chahal revealed his disappointment at the manner of his parting with RCB, ahead of the #IPL2022 season 

Full story  http://es.pn/3DzoFVz #CricketTwitter",10,31,765
KKR Karavan,2023-04-24T17:09:15.000Z,"5
3
84
2.8KYuzvendra Chahal revealed his disappointment at the manner of his parting with RCB, ahead of the #IPL2022 season 

Full story  http://es.pn/3DzoFVz #CricketTwitter",10,31,765
Prajwal,2024-03-22T15:30:44.000Z,"3
1
4
1.1KYuzvendra Chahal revealed his disappointment at the manner of his parting with RCB, ahead of the #IPL2022 season 

Full story  http://es.pn/3DzoFVz #CricketTwitter",10,31,765
Almilany,2023-06-04T21:03:41.000Z,"youtube.com
You Need To Fear When #shorts #ipl #cricket #shortvideo #ipl2022...Yuzvendra Chahal revealed his disappointment at the manner of his parting with RCB, ahead of the #IPL2022 season 

Full story  http://es.pn/3DzoFVz #CricketTwitter",10,31,765
IndianPremierLeague,2022-05-29T18:02:23.000Z,"IPLT20.com - Indian Premier League Official Website - Results
From iplt20.comFinal. 16.4: Prasidh Krishna to David Miller 4 runs, Gujarat Titans 115/3 https://bit.ly/TataIpl-2022-Final… #Final #TATAIPL #IPL2022",4,11,185
Sports Lounge,2023-08-19T04:48:54.000Z,"16Final. 16.4: Prasidh Krishna to David Miller 4 runs, Gujarat Titans 115/3 https://bit.ly/TataIpl-2022-Final… #Final #TATAIPL #IPL2022",4,11,185
Business Upturn,2024-02-25T13:11:47.000Z,"Top 5 highest individual scores in IPL season | Business Upturn
From businessupturn.comFinal. 16.4: Prasidh Krishna to David Miller 4 runs, Gujarat Titans 115/3 https://bit.ly/TataIpl-2022-Final… #Final #TATAIPL #IPL2022",4,11,185
PK,2023-04-27T13:34:29.000Z,"89Final. 16.4: Prasidh Krishna to David Miller 4 runs, Gujarat Titans 115/3 https://bit.ly/TataIpl-2022-Final… #Final #TATAIPL #IPL2022",4,11,185
oneindiatelugu,2023-05-01T05:44:07.000Z,"60Final. 16.4: Prasidh Krishna to David Miller 4 runs, Gujarat Titans 115/3 https://bit.ly/TataIpl-2022-Final… #Final #TATAIPL #IPL2022",4,11,185
Nikita Singhaniya,2023-05-21T14:26:32.000Z,"1
1
6
462Final. 16.4: Prasidh Krishna to David Miller 4 runs, Gujarat Titans 115/3 https://bit.ly/TataIpl-2022-Final… #Final #TATAIPL #IPL2022",4,11,185
IndianPremierLeague,2022-05-29T16:46:11.000Z,"IPLT20.com - Indian Premier League Official Website - Results
From iplt20.comFinal. 16.4: Prasidh Krishna to David Miller 4 runs, Gujarat Titans 115/3 https://bit.ly/TataIpl-2022-Final… #Final #TATAIPL #IPL2022",4,11,185
IndianPremierLeague,2022-05-29T16:21:45.000Z,"IPLT20.com - Indian Premier League Official Website - Results
From iplt20.comFinal. 16.4: Prasidh Krishna to David Miller 4 runs, Gujarat Titans 115/3 https://bit.ly/TataIpl-2022-Final… #Final #TATAIPL #IPL2022",4,11,185
Hariharan Durairaj 𝕏,2023-05-19T15:49:43.000Z,"2
9
287Final. 16.4: Prasidh Krishna to David Miller 4 runs, Gujarat Titans 115/3 https://bit.ly/TataIpl-2022-Final… #Final #TATAIPL #IPL2022",4,11,185
IndianPremierLeague,2022-05-29T17:11:18.000Z,"IPLT20.com - Indian Premier League Official Website - Results
From iplt20.comFinal. 16.4: Prasidh Krishna to David Miller 4 runs, Gujarat Titans 115/3 https://bit.ly/TataIpl-2022-Final… #Final #TATAIPL #IPL2022",4,11,185
Reporter Live,2024-04-07T13:51:29.000Z,"വാങ്കഡെയില്‍ മുംബൈ അവതരിച്ചു; ഡല്‍ഹിയെ തകര്‍ത്ത് സീസണിലെ ആദ്യ വിജയം
From reporterlive.comവാങ്കഡെയില്‍ മുംബൈ അവതരിച്ചു; ഡല്‍ഹിയെ തകര്‍ത്ത് സീസണിലെ ആദ്യ വിജയം

#MIvsDC #IPL2022 #MIvDC",,,1
Republic Bharat - रिपब्लिक भारत,2023-06-01T04:23:38.000Z,"2
44
2Kവാങ്കഡെയില്‍ മുംബൈ അവതരിച്ചു; ഡല്‍ഹിയെ തകര്‍ത്ത് സീസണിലെ ആദ്യ വിജയം

#MIvsDC #IPL2022 #MIvDC",,,1
Shivvam Sharma,2024-05-22T18:05:53.000Z,"1
725വാങ്കഡെയില്‍ മുംബൈ അവതരിച്ചു; ഡല്‍ഹിയെ തകര്‍ത്ത് സീസണിലെ ആദ്യ വിജയം

#MIvsDC #IPL2022 #MIvDC",,,1
Sriram RJ,2023-05-28T12:39:49.000Z,"Willow TV US
@willowtv
·
May 28, 2023
 Here we go then, it’s time for the @IPL final!

 Will it be @ChennaiIPL or @gujarat_titans being crowned champions?
Show moreവാങ്കഡെയില്‍ മുംബൈ അവതരിച്ചു; ഡല്‍ഹിയെ തകര്‍ത്ത് സീസണിലെ ആദ്യ വിജയം

#MIvsDC #IPL2022 #MIvDC",,,1
RevSportz,2024-03-22T15:42:24.000Z,"1
504വാങ്കഡെയില്‍ മുംബൈ അവതരിച്ചു; ഡല്‍ഹിയെ തകര്‍ത്ത് സീസണിലെ ആദ്യ വിജയം

#MIvsDC #IPL2022 #MIvDC",,,1
IndianPremierLeague,2022-05-29T17:01:56.000Z,"IPLT20.com - Indian Premier League Official Website - Results
From iplt20.comവാങ്കഡെയില്‍ മുംബൈ അവതരിച്ചു; ഡല്‍ഹിയെ തകര്‍ത്ത് സീസണിലെ ആദ്യ വിജയം

#MIvsDC #IPL2022 #MIvDC",,,1
Republic,2024-04-23T09:43:15.000Z,"'Chahal is one I will be frustrated with until I finish my career': Ex-RCB coach admits to BLUNDER-...
From republicworld.comവാങ്കഡെയില്‍ മുംബൈ അവതരിച്ചു; ഡല്‍ഹിയെ തകര്‍ത്ത് സീസണിലെ ആദ്യ വിജയം

#MIvsDC #IPL2022 #MIvDC",,,1
@EntrepreneurInd,2023-07-04T12:16:21.000Z,"187വാങ്കഡെയില്‍ മുംബൈ അവതരിച്ചു; ഡല്‍ഹിയെ തകര്‍ത്ത് സീസണിലെ ആദ്യ വിജയം

#MIvsDC #IPL2022 #MIvDC",,,1
Thanthi TV,2023-04-22T05:07:54.000Z,"உதயநிதி ஏற்பாட்டில் இலவசமாக மேட்ச் பார்த்த சிறுவர்கள்...!
From thanthitv.comവാങ്കഡെയില്‍ മുംബൈ അവതരിച്ചു; ഡല്‍ഹിയെ തകര്‍ത്ത് സീസണിലെ ആദ്യ വിജയം

#MIvsDC #IPL2022 #MIvDC",,,1
G.O.A.TArun,2023-05-29T21:14:43.000Z,"1
108വാങ്കഡെയില്‍ മുംബൈ അവതരിച്ചു; ഡല്‍ഹിയെ തകര്‍ത്ത് സീസണിലെ ആദ്യ വിജയം

#MIvsDC #IPL2022 #MIvDC",,,1
Republic Sports (R. Sports),2024-04-23T09:43:05.000Z,"'Chahal is one I will be frustrated with until I finish my career': Ex-RCB coach admits to BLUNDER-...
From republicworld.com'Chahal is one I will be frustrated with until I finish my career': Ex-RCB coach admits to BLUNDER

#YuzvendraChahal #RCB #MikeHesson #IPL2022 #IPL #RR #IPL2024",1,,
DNA,2023-07-23T16:08:55.000Z,"dnaindia.com
‘Jaddu was not upset with Mahi Bhai’: Former CSK player reveals secret of rift between Jadeja and...
Ambati Rayudu, former CSK player reveals truth about MS Dhoni and Ravindra Jadeja's rift during IPL 2022.'Chahal is one I will be frustrated with until I finish my career': Ex-RCB coach admits to BLUNDER

#YuzvendraChahal #RCB #MikeHesson #IPL2022 #IPL #RR #IPL2024",1,,
Jansatta,2023-12-06T05:39:04.000Z,"IPL में नहीं बिके विकेटकीपर ने 13 गेंद में ठोकी फिफ्टी; 37 गेंद में जीती टीम, लगाई जीत की हैट्रिक
From jansatta.com'Chahal is one I will be frustrated with until I finish my career': Ex-RCB coach admits to BLUNDER

#YuzvendraChahal #RCB #MikeHesson #IPL2022 #IPL #RR #IPL2024",1,,
News18 CricketNext,2023-04-26T07:42:52.000Z,"'I Support this Selection 100%': IND Spin Legend Backs 'Brilliant Player' Ajinkya Rahane's Test...
From news18.com'Chahal is one I will be frustrated with until I finish my career': Ex-RCB coach admits to BLUNDER

#YuzvendraChahal #RCB #MikeHesson #IPL2022 #IPL #RR #IPL2024",1,,
News State UP & UK,2023-05-18T17:32:31.000Z,"IPL 2023 : इस साल सनराइजर्स के सबसे सफल बल्लेबाज रहे क्लासेन, ऑरेंज कैप की रेस में भी टॉप 10 में...
From newsnationtv.com'Chahal is one I will be frustrated with until I finish my career': Ex-RCB coach admits to BLUNDER

#YuzvendraChahal #RCB #MikeHesson #IPL2022 #IPL #RR #IPL2024",1,,
IndiaTVSports,2023-07-16T08:12:12.000Z,"'No phone call, no communication': Yuzvendra Chahal makes shocking claims over RCB snub in IPL 2022
From indiatvnews.com'Chahal is one I will be frustrated with until I finish my career': Ex-RCB coach admits to BLUNDER

#YuzvendraChahal #RCB #MikeHesson #IPL2022 #IPL #RR #IPL2024",1,,
Dainik Jagran,2023-04-09T03:30:00.000Z,"SRH vs PBKS Pitch Report: राजीव गांधी स्टेडियम में बल्लेबाजों की बोलती है तूती, स्पिनर्स भी बुनते...
From jagran.com'Chahal is one I will be frustrated with until I finish my career': Ex-RCB coach admits to BLUNDER

#YuzvendraChahal #RCB #MikeHesson #IPL2022 #IPL #RR #IPL2024",1,,
Dainik Jagran,2023-04-09T03:30:00.000Z,"SRH vs PBKS Pitch Report: राजीव गांधी स्टेडियम में बल्लेबाजों की बोलती है तूती, स्पिनर्स भी बुनते...
From jagran.comSRH vs PBKS Pitch Report: राजीव गांधी स्टेडियम में बल्लेबाजों की होती है फुल मौज, स्पिनर्स भी बुनते हैं जाल

#SRHvsPBKS #IPL2022 #RajivGandhiStadium #PitchReport 
@SunRisers
 @PunjabKingsIPL",,,2
Tv9 Gujarati,2023-05-21T16:09:10.000Z,"2022માં 'ટાઈટન્સ'ને હરાવીને પ્લેઓફમાં પહોંચ્યા હતા 'રોયલ ચેલેન્જર્સ', આજે ફરી થશે ઈતિહાસનું...
From tv9gujarati.comSRH vs PBKS Pitch Report: राजीव गांधी स्टेडियम में बल्लेबाजों की होती है फुल मौज, स्पिनर्स भी बुनते हैं जाल

#SRHvsPBKS #IPL2022 #RajivGandhiStadium #PitchReport 
@SunRisers
 @PunjabKingsIPL",,,2
Cab4Now.com,2024-05-23T13:55:54.000Z,"Cricket Headlines
From juicestorm.comSRH vs PBKS Pitch Report: राजीव गांधी स्टेडियम में बल्लेबाजों की होती है फुल मौज, स्पिनर्स भी बुनते हैं जाल

#SRHvsPBKS #IPL2022 #RajivGandhiStadium #PitchReport 
@SunRisers
 @PunjabKingsIPL",,,2
Betfair Trading - JuiceStorm.com,2024-05-23T13:54:09.000Z,"Cricket Headlines
From juicestorm.comSRH vs PBKS Pitch Report: राजीव गांधी स्टेडियम में बल्लेबाजों की होती है फुल मौज, स्पिनर्स भी बुनते हैं जाल

#SRHvsPBKS #IPL2022 #RajivGandhiStadium #PitchReport 
@SunRisers
 @PunjabKingsIPL",,,2
Tv9 Gujarati,2023-05-21T16:09:10.000Z,"2022માં 'ટાઈટન્સ'ને હરાવીને પ્લેઓફમાં પહોંચ્યા હતા 'રોયલ ચેલેન્જર્સ', આજે ફરી થશે ઈતિહાસનું...
From tv9gujarati.com2022માં ‘ટાઈટન્સ’ને હરાવીને પ્લેઓફમાં પહોંચ્યા હતા ‘રોયલ ચેલેન્જર્સ’, આજે ફરી થશે ઈતિહાસનું પુનરાવર્તન ?

#IPL2022 #IPL2023 #RCB #RCBvsGT #ViratKohli",,,3
Cab4Now.com,2024-05-23T13:55:54.000Z,"Cricket Headlines
From juicestorm.com2022માં ‘ટાઈટન્સ’ને હરાવીને પ્લેઓફમાં પહોંચ્યા હતા ‘રોયલ ચેલેન્જર્સ’, આજે ફરી થશે ઈતિહાસનું પુનરાવર્તન ?

#IPL2022 #IPL2023 #RCB #RCBvsGT #ViratKohli",,,3
Betfair Trading - JuiceStorm.com,2024-05-23T13:54:09.000Z,"Cricket Headlines
From juicestorm.com2022માં ‘ટાઈટન્સ’ને હરાવીને પ્લેઓફમાં પહોંચ્યા હતા ‘રોયલ ચેલેન્જર્સ’, આજે ફરી થશે ઈતિહાસનું પુનરાવર્તન ?

#IPL2022 #IPL2023 #RCB #RCBvsGT #ViratKohli",,,3
