Username,TimeStamp,Text,Replies,Retweets,Likes
αbhι¹⁸,2024-04-06T04:43:43.000Z,"IPL Auction 2021 
Date: th February, 2021. 
Venue: Chennai  

Who do you think should be a part of RCB’s #ClassOf2021? 

#PlayBold #IPLAuction #IPL2021",1.2K,1K,15K
Wasim Jaffer,2021-04-12T18:22:01.000Z,"Salman Khan
@BeingSalmanKhan
·
May 28, 2014
Zinta's team won kya ?IPL Auction 2021 
Date: th February, 2021. 
Venue: Chennai  

Who do you think should be a part of RCB’s #ClassOf2021? 

#PlayBold #IPLAuction #IPL2021",1.2K,1K,15K
Rajasthan Royals,2021-01-20T13:18:09.000Z,"IPL Auction 2021 
Date: th February, 2021. 
Venue: Chennai  

Who do you think should be a part of RCB’s #ClassOf2021? 

#PlayBold #IPLAuction #IPL2021",1.2K,1K,15K
Ravi Shastri,2021-04-10T07:28:35.000Z,"Guru vs Chela. Bahot Maza aayega aaj. Stump Mic suniyega zaroor #DhoniReturns #Pant #IPL2021 #DCvsCSK - 
@ChennaiIPL
 @DelhiCapitals",621,5.6K,75K
KolkataKnightRiders,2021-10-08T16:45:41.000Z,"Guru vs Chela. Bahot Maza aayega aaj. Stump Mic suniyega zaroor #DhoniReturns #Pant #IPL2021 #DCvsCSK - 
@ChennaiIPL
 @DelhiCapitals",621,5.6K,75K
Plutus,2023-07-10T11:10:23.000Z,"0:39Guru vs Chela. Bahot Maza aayega aaj. Stump Mic suniyega zaroor #DhoniReturns #Pant #IPL2021 #DCvsCSK - 
@ChennaiIPL
 @DelhiCapitals",621,5.6K,75K
Rajasthan Royals,2021-01-20T12:43:08.000Z,"Guru vs Chela. Bahot Maza aayega aaj. Stump Mic suniyega zaroor #DhoniReturns #Pant #IPL2021 #DCvsCSK - 
@ChennaiIPL
 @DelhiCapitals",621,5.6K,75K
Virat Kohli,2021-02-18T13:33:33.000Z,"Guru vs Chela. Bahot Maza aayega aaj. Stump Mic suniyega zaroor #DhoniReturns #Pant #IPL2021 #DCvsCSK - 
@ChennaiIPL
 @DelhiCapitals",621,5.6K,75K
Royal Challengers Bengaluru,2021-10-16T05:30:13.000Z,"Guru vs Chela. Bahot Maza aayega aaj. Stump Mic suniyega zaroor #DhoniReturns #Pant #IPL2021 #DCvsCSK - 
@ChennaiIPL
 @DelhiCapitals",621,5.6K,75K
Mumbai Indians,2021-04-09T08:08:15.000Z,"Surya Kumar YadavDrop a  to wish SKY and the team all the best for tonight!

#OneFamily #MumbaiIndians #MI #MIvRCB #IPL2021 
@surya_14kumar",307,431,9K
CricTracker Hindi,2023-10-15T10:23:03.000Z,"Drop a  to wish SKY and the team all the best for tonight!

#OneFamily #MumbaiIndians #MI #MIvRCB #IPL2021 
@surya_14kumar",307,431,9K
Royal Challengers Bengaluru,2021-09-12T07:24:01.000Z,"Virat Kohli and Mohammed SirajDrop a  to wish SKY and the team all the best for tonight!

#OneFamily #MumbaiIndians #MI #MIvRCB #IPL2021 
@surya_14kumar",307,431,9K
Saravanan Hari,2023-10-15T07:12:45.000Z,"Drop a  to wish SKY and the team all the best for tonight!

#OneFamily #MumbaiIndians #MI #MIvRCB #IPL2021 
@surya_14kumar",307,431,9K
Punjab Kings,2021-05-02T11:43:28.000Z,"K L RahulDrop a  to wish SKY and the team all the best for tonight!

#OneFamily #MumbaiIndians #MI #MIvRCB #IPL2021 
@surya_14kumar",307,431,9K
Ormax Media,2021-04-16T14:12:30.000Z,"Drop a  to wish SKY and the team all the best for tonight!

#OneFamily #MumbaiIndians #MI #MIvRCB #IPL2021 
@surya_14kumar",307,431,9K
Plutus,2023-07-12T07:20:15.000Z,"""PLUTUS: the opinion trading app that rewards you for being right. Download now and start earning!""
.
To download the app click on the link .
https://plutus.gg
.
@espncricinfo
 #cricktracker 
@mahi7781
 #msdhoni #ipl #ipl2021 #iplauction #PlutusPredictions #Plutus #money",1,,
MP News,2023-06-03T07:48:16.000Z,"""PLUTUS: the opinion trading app that rewards you for being right. Download now and start earning!""
.
To download the app click on the link .
https://plutus.gg
.
@espncricinfo
 #cricktracker 
@mahi7781
 #msdhoni #ipl #ipl2021 #iplauction #PlutusPredictions #Plutus #money",1,,
News Tamil 24x7 | நியூஸ் தமிழ் 24x7,2024-05-06T16:01:25.000Z,"""PLUTUS: the opinion trading app that rewards you for being right. Download now and start earning!""
.
To download the app click on the link .
https://plutus.gg
.
@espncricinfo
 #cricktracker 
@mahi7781
 #msdhoni #ipl #ipl2021 #iplauction #PlutusPredictions #Plutus #money",1,,
MR.HINGORJA,2024-05-25T14:28:46.000Z,"""PLUTUS: the opinion trading app that rewards you for being right. Download now and start earning!""
.
To download the app click on the link .
https://plutus.gg
.
@espncricinfo
 #cricktracker 
@mahi7781
 #msdhoni #ipl #ipl2021 #iplauction #PlutusPredictions #Plutus #money",1,,
Jasprit Bumrah,2021-09-21T18:23:30.000Z,"466
5.5K
69K""PLUTUS: the opinion trading app that rewards you for being right. Download now and start earning!""
.
To download the app click on the link .
https://plutus.gg
.
@espncricinfo
 #cricktracker 
@mahi7781
 #msdhoni #ipl #ipl2021 #iplauction #PlutusPredictions #Plutus #money",1,,
CricTracker Hindi,2024-03-24T04:00:00.000Z,"""PLUTUS: the opinion trading app that rewards you for being right. Download now and start earning!""
.
To download the app click on the link .
https://plutus.gg
.
@espncricinfo
 #cricktracker 
@mahi7781
 #msdhoni #ipl #ipl2021 #iplauction #PlutusPredictions #Plutus #money",1,,
Sᴀᴋᴛʜɪ 𝐕𝐈𝐉𝐀𝐘,2023-10-15T08:35:20.000Z,"Mahendra Singh Dhoni and Chennai Super KingsOTD 221 CSK LIFT THEIR
4 th TROPHY 
OUR TEAM TN.41 PMSDFC CELEBRATIONS 
@msdhoni
 @ChennaiIPL
#CSK #MSDhoni𓃵
#IPL2021",,,
Hum Dekhenge News,2024-05-11T10:12:14.000Z,"OTD 221 CSK LIFT THEIR
4 th TROPHY 
OUR TEAM TN.41 PMSDFC CELEBRATIONS 
@msdhoni
 @ChennaiIPL
#CSK #MSDhoni𓃵
#IPL2021",,,
Harie,2024-05-18T18:39:24.000Z,"GIFOTD 221 CSK LIFT THEIR
4 th TROPHY 
OUR TEAM TN.41 PMSDFC CELEBRATIONS 
@msdhoni
 @ChennaiIPL
#CSK #MSDhoni𓃵
#IPL2021",,,
IndianPremierLeague,2021-10-15T17:59:34.000Z,"IPLT20.com - Indian Premier League Official Website - Results
From iplt20.comOTD 221 CSK LIFT THEIR
4 th TROPHY 
OUR TEAM TN.41 PMSDFC CELEBRATIONS 
@msdhoni
 @ChennaiIPL
#CSK #MSDhoni𓃵
#IPL2021",,,
Royal Challengers Bengaluru,2021-04-26T04:30:53.000Z,"OTD 221 CSK LIFT THEIR
4 th TROPHY 
OUR TEAM TN.41 PMSDFC CELEBRATIONS 
@msdhoni
 @ChennaiIPL
#CSK #MSDhoni𓃵
#IPL2021",,,
Royal Challengers Bengaluru,2021-04-15T02:30:00.000Z,"OTD 221 CSK LIFT THEIR
4 th TROPHY 
OUR TEAM TN.41 PMSDFC CELEBRATIONS 
@msdhoni
 @ChennaiIPL
#CSK #MSDhoni𓃵
#IPL2021",,,
Yolo247,2024-04-13T12:18:02.000Z,"RR
84%
PBKS
16%
25 votes
·
Final resultsGAME ON  TODAY ,  RR VS PBKS
WHO WILL WIN  ?

#IPL2021 #IPL #indianpremierleague #yolo247 #rajasthanroyals #Punjabkings #T20",,,
Armchaircritech,2024-05-18T18:41:42.000Z,"1
1
255GAME ON  TODAY ,  RR VS PBKS
WHO WILL WIN  ?

#IPL2021 #IPL #indianpremierleague #yolo247 #rajasthanroyals #Punjabkings #T20",,,
දැහැමි දරුවා,2023-05-21T18:29:32.000Z,"4
160GAME ON  TODAY ,  RR VS PBKS
WHO WILL WIN  ?

#IPL2021 #IPL #indianpremierleague #yolo247 #rajasthanroyals #Punjabkings #T20",,,
Suriyakumar Palanisamy,2024-04-30T13:11:16.000Z,"5
15
848GAME ON  TODAY ,  RR VS PBKS
WHO WILL WIN  ?

#IPL2021 #IPL #indianpremierleague #yolo247 #rajasthanroyals #Punjabkings #T20",,,
Rajasthan Royals,2021-02-18T10:32:44.000Z,"372
703
8.5KGAME ON  TODAY ,  RR VS PBKS
WHO WILL WIN  ?

#IPL2021 #IPL #indianpremierleague #yolo247 #rajasthanroyals #Punjabkings #T20",,,
Atif Khan Mehsud,2023-05-23T18:03:54.000Z,"53GAME ON  TODAY ,  RR VS PBKS
WHO WILL WIN  ?

#IPL2021 #IPL #indianpremierleague #yolo247 #rajasthanroyals #Punjabkings #T20",,,
Thanthi TV,2024-03-22T14:18:50.000Z,"GAME ON  TODAY ,  RR VS PBKS
WHO WILL WIN  ?

#IPL2021 #IPL #indianpremierleague #yolo247 #rajasthanroyals #Punjabkings #T20",,,
Chloe-Amanda Bailey,2021-01-21T08:07:25.000Z,"GAME ON  TODAY ,  RR VS PBKS
WHO WILL WIN  ?

#IPL2021 #IPL #indianpremierleague #yolo247 #rajasthanroyals #Punjabkings #T20",,,
DK,2021-04-07T08:30:04.000Z,"2.6K
799
17KGAME ON  TODAY ,  RR VS PBKS
WHO WILL WIN  ?

#IPL2021 #IPL #indianpremierleague #yolo247 #rajasthanroyals #Punjabkings #T20",,,
Chloe-Amanda Bailey,2021-03-07T08:21:13.000Z,"494
1.1K
16KGAME ON  TODAY ,  RR VS PBKS
WHO WILL WIN  ?

#IPL2021 #IPL #indianpremierleague #yolo247 #rajasthanroyals #Punjabkings #T20",,,
Chloe-Amanda Bailey,2021-04-09T13:11:56.000Z,"263
584
7.6KGAME ON  TODAY ,  RR VS PBKS
WHO WILL WIN  ?

#IPL2021 #IPL #indianpremierleague #yolo247 #rajasthanroyals #Punjabkings #T20",,,
IndianPremierLeague,2021-10-15T16:47:17.000Z,"IPLT20.com - Indian Premier League Official Website - Results
From iplt20.comGAME ON  TODAY ,  RR VS PBKS
WHO WILL WIN  ?

#IPL2021 #IPL #indianpremierleague #yolo247 #rajasthanroyals #Punjabkings #T20",,,
IndianPremierLeague,2021-10-15T17:05:25.000Z,"IPLT20.com - Indian Premier League Official Website - Results
From iplt20.comFinal. 11.3: WICKET! S Narine (2) is out, c Ravindra Jadeja b Josh Hazlewood, 97/3 https://bit.ly/IPL-2021-60 #VIVOIPL #IPL2021 #Final",29,64,817
S S Karthikeya,2024-05-18T18:43:06.000Z,"33
1.3K
10K
127KFinal. 11.3: WICKET! S Narine (2) is out, c Ravindra Jadeja b Josh Hazlewood, 97/3 https://bit.ly/IPL-2021-60 #VIVOIPL #IPL2021 #Final",29,64,817
R P Singh रुद्र प्रताप सिंह,2021-10-17T04:42:23.000Z,"1K
1.6K
21KFinal. 11.3: WICKET! S Narine (2) is out, c Ravindra Jadeja b Josh Hazlewood, 97/3 https://bit.ly/IPL-2021-60 #VIVOIPL #IPL2021 #Final",29,64,817
Delhi Capitals,2021-03-30T14:46:22.000Z,"Rishabh Pant | DC Captain | VIVO IPL 2021
From delhicapitals.inFinal. 11.3: WICKET! S Narine (2) is out, c Ravindra Jadeja b Josh Hazlewood, 97/3 https://bit.ly/IPL-2021-60 #VIVOIPL #IPL2021 #Final",29,64,817
IndianPremierLeague,2021-10-15T17:58:44.000Z,"IPLT20.com - Indian Premier League Official Website - Results
From iplt20.comFinal. 11.3: WICKET! S Narine (2) is out, c Ravindra Jadeja b Josh Hazlewood, 97/3 https://bit.ly/IPL-2021-60 #VIVOIPL #IPL2021 #Final",29,64,817
LetsCinema,2021-09-12T07:08:02.000Z,"265
839
6.3KFinal. 11.3: WICKET! S Narine (2) is out, c Ravindra Jadeja b Josh Hazlewood, 97/3 https://bit.ly/IPL-2021-60 #VIVOIPL #IPL2021 #Final",29,64,817
Good God,2024-05-18T18:02:53.000Z,"2
1
97Final. 11.3: WICKET! S Narine (2) is out, c Ravindra Jadeja b Josh Hazlewood, 97/3 https://bit.ly/IPL-2021-60 #VIVOIPL #IPL2021 #Final",29,64,817
Plutus,2023-06-17T09:32:08.000Z,"GIFFinal. 11.3: WICKET! S Narine (2) is out, c Ravindra Jadeja b Josh Hazlewood, 97/3 https://bit.ly/IPL-2021-60 #VIVOIPL #IPL2021 #Final",29,64,817
Cab4Now.com,2024-04-20T19:50:56.000Z,"Cricket Headlines
From juicestorm.comCheck out the latest insights from Delhi Capitals captain on their match strategy! Pant explains their decision to bowl first and the challenges faced during the match. Read more at https://juicestorm.com/sport/cricket-headlines…. #cricket #IPL2021",,,
Cab4Now.com,2024-04-25T18:50:57.000Z,"Cricket Headlines
From juicestorm.comCheck out the latest insights from Delhi Capitals captain on their match strategy! Pant explains their decision to bowl first and the challenges faced during the match. Read more at https://juicestorm.com/sport/cricket-headlines…. #cricket #IPL2021",,,
Hum Dekhenge News,2024-05-23T06:05:10.000Z,26Check out the latest insights from Delhi Capitals captain on their match strategy! Pant explains their decision to bowl first and the challenges faced during the match. Read more at https://juicestorm.com/sport/cricket-headlines…. #cricket #IPL2021,,,
Good God,2024-05-18T18:30:48.000Z,"1
1
97Check out the latest insights from Delhi Capitals captain on their match strategy! Pant explains their decision to bowl first and the challenges faced during the match. Read more at https://juicestorm.com/sport/cricket-headlines…. #cricket #IPL2021",,,
Hum Dekhenge News,2024-05-10T06:03:32.000Z,3Check out the latest insights from Delhi Capitals captain on their match strategy! Pant explains their decision to bowl first and the challenges faced during the match. Read more at https://juicestorm.com/sport/cricket-headlines…. #cricket #IPL2021,,,
Fantasy Counsel,2024-04-06T15:55:02.000Z,"1
1
64Check out the latest insights from Delhi Capitals captain on their match strategy! Pant explains their decision to bowl first and the challenges faced during the match. Read more at https://juicestorm.com/sport/cricket-headlines…. #cricket #IPL2021",,,
Betfair Trading - JuiceStorm.com,2024-05-19T16:49:33.000Z,"Cricket Headlines
From juicestorm.comCheck out the latest insights from Delhi Capitals captain on their match strategy! Pant explains their decision to bowl first and the challenges faced during the match. Read more at https://juicestorm.com/sport/cricket-headlines…. #cricket #IPL2021",,,
Hum Dekhenge News,2024-05-03T10:22:16.000Z,6Check out the latest insights from Delhi Capitals captain on their match strategy! Pant explains their decision to bowl first and the challenges faced during the match. Read more at https://juicestorm.com/sport/cricket-headlines…. #cricket #IPL2021,,,
Hum Dekhenge News,2024-04-07T12:24:50.000Z,96Check out the latest insights from Delhi Capitals captain on their match strategy! Pant explains their decision to bowl first and the challenges faced during the match. Read more at https://juicestorm.com/sport/cricket-headlines…. #cricket #IPL2021,,,
Hum Dekhenge News,2024-04-14T13:37:45.000Z,107Check out the latest insights from Delhi Capitals captain on their match strategy! Pant explains their decision to bowl first and the challenges faced during the match. Read more at https://juicestorm.com/sport/cricket-headlines…. #cricket #IPL2021,,,
Kunal,2024-05-18T18:30:11.000Z,"1
484Check out the latest insights from Delhi Capitals captain on their match strategy! Pant explains their decision to bowl first and the challenges faced during the match. Read more at https://juicestorm.com/sport/cricket-headlines…. #cricket #IPL2021",,,
ABP LIVE,2023-06-17T05:29:01.000Z,"news.abplive.com
'MS Dhoni Took Permission From Me': Suresh Raina On Experienced Batter Replacing Him In CSK Playi...
Suresh Raina revealed that MS Dhoni consulted him before deciding that he should be replaced in the team's playing XI for the remaining matches in the 2021 season.Check out the latest insights from Delhi Capitals captain on their match strategy! Pant explains their decision to bowl first and the challenges faced during the match. Read more at https://juicestorm.com/sport/cricket-headlines…. #cricket #IPL2021",,,
The Field,2023-05-20T07:44:35.000Z,"Faf Du Plessis: Why IPL 2018 stands out for CSK and why 2021 final was special on a personal front
From scroll.in#BookExcerpt

Faf Du Plessis writes about the memorable player-of-the-match innings for CSK in #IPL2021 final",,1,
Betfair Trading - JuiceStorm.com,2024-05-09T19:54:46.000Z,"Cricket Headlines
From juicestorm.com#BookExcerpt

Faf Du Plessis writes about the memorable player-of-the-match innings for CSK in #IPL2021 final",,1,
India.com,2023-06-17T04:28:18.000Z,"india.com
Who Convinced MSD To Play Robin Uthappa At CSK In IPL 2021? Suresh Raina Reveals
Robin Uthappa was traded from Rajasthan Royals to Chennai Super Kings in IPL 2021. Suresh Raina played 12 games for CSK while Uthappa played four for CSK that season.#BookExcerpt

Faf Du Plessis writes about the memorable player-of-the-match innings for CSK in #IPL2021 final",,1,
MediaOne TV,2023-06-17T04:48:01.000Z,"'ധോണി എന്നെ പുറത്തിരുത്തിയത് അങ്ങനെയാണ്'; വെളിപ്പെടുത്തി സുരേഷ് റെയ്ന
From mediaoneonline.com#BookExcerpt

Faf Du Plessis writes about the memorable player-of-the-match innings for CSK in #IPL2021 final",,1,
